比赛时间,比赛ID,联赛名称,主队,客队,主队（让球）vs客队,半场比分,全场比分,总进球数,胜赔率,平赔率,负赔率
2020/10/17,周六003,日职,大阪樱花,里昂,洛里昂（+1）vs里昂,'0:0,'1:1,2,4.5,3.7,1.56
2020/10/17,周六002,日乙,东京绿茵,诺维奇,伯恩茅斯（-1）vs诺维奇,'1:0,'1:0,1,2.19,3.2,2.75
2020/10/17,周六001,日乙,德岛漩涡,威廉二世,埃门（-1）vs威廉二世,'1:1,'1:1,2,2.5,3.4,2.27
2020/10/17,周五013,法乙,尚布利,PSV埃因霍温,赫拉克勒斯（+1）vsPSV埃因霍温,'1:0,'1:1,2,4.7,4.15,1.47
2020/10/17,周五012,墨超,马萨特兰,布拉干蒂诺RB,瓦斯科达伽马（+1）vs布拉干蒂诺RB,'0:0,'1:1,2,3.05,3.1,2.07
2020/10/17,周五010,巴甲,戈亚斯,格拉纳达CF,马德里竞技（-1）vs格拉纳达CF,'1:0,'6:1,7,1.31,3.95,8.5
2020/10/17,周五009,荷乙,SBV精英,拜仁慕尼黑,霍芬海姆（+2）vs拜仁慕尼黑,'2:1,'4:1,5,9.25,6.4,1.15
2020/10/17,周五008,荷乙,布雷达,斯特拉斯堡,摩纳哥（-1）vs斯特拉斯堡,'2:0,'3:2,5,1.57,3.5,4.75
2020/10/17,周五007,荷乙,福伦丹,蒙彼利埃,第戎（+1）vs蒙彼利埃,'1:0,'2:2,4,4.55,3.5,1.59
2020/10/17,周五006,法甲,尼姆,乌迪内斯,维罗纳（-1）vs乌迪内斯,'0:0,'1:0,1,2.37,2.92,2.7
2020/10/17,周五005,英冠,德比郡,赫根,马尔默（-1）vs赫根,'2:0,'3:0,3,1.78,3.35,3.65
2020/10/17,周五004,荷乙,乌德勒支青年队,厄斯特松德,赫尔辛堡（-1）vs厄斯特松德,'0:0,'0:1,1,2.02,3.05,3.22
2020/10/17,周五003,荷乙,阿贾克斯青年队,哈马比,法尔肯堡（+1）vs哈马比,'1:0,'1:3,4,4.35,3.85,1.55
2020/10/17,周五002,荷乙,海尔蒙特,瓦尔韦克,乌德勒支（-2）vs瓦尔韦克,'1:0,'3:1,4,1.18,5.75,9
2020/10/18,周日041,瑞超,瓦尔贝里,谢菲尔德星期三,布里斯托尔城（+1）vs谢菲尔德星期三,'0:0,'2:0,2,2.65,3.02,2.35
2020/10/18,周日040,瑞超,AIK索尔纳,聚尔特瓦雷赫姆,标准列日（-1）vs聚尔特瓦雷赫姆,'0:1,'2:2,4,1.37,4.2,6
2020/10/18,周日039,英超,托特纳姆热刺,波鸿,卡尔斯鲁厄（+1）vs波鸿,'0:1,'0:1,1,2.65,3.1,2.3
2020/10/18,周日038,荷甲,兹沃勒,海登海姆,圣保利（+1）vs海登海姆,'2:0,'4:2,6,2.62,3.15,2.3
2020/10/18,周日037,荷甲,格罗宁根,桑德豪森,纽伦堡（-1）vs桑德豪森,'0:0,'1:0,1,1.99,3.2,3.13
2020/10/18,周日036,比甲,穆斯克龙,罗斯托夫,图拉兵工厂（+1）vs罗斯托夫,'1:3,'2:3,5,2.75,2.85,2.39
2020/10/18,周日035,葡超,比兰尼塞斯,尼斯,波尔多（-1）vs尼斯,'0:0,'0:0,0,1.97,2.95,3.5
2020/10/18,周日034,葡超,费雷拉,萨索洛,斯佩齐亚（+1）vs萨索洛,'1:1,'1:4,5,4.15,3.7,1.61
2020/10/18,周日033,西甲,比利亚雷亚尔,奈梅亨,格拉夫夏普（-1）vs奈梅亨,'0:0,'2:0,2,1.59,3.9,4.05
2020/10/18,周日032,俄超,莫斯科中央陆军,海牙,费耶诺德（-2）vs海牙,'1:1,'4:2,6,1.1,7,12.5
2020/10/18,周日031,法甲,摩纳哥,莱万特,奥萨苏纳（-1）vs莱万特,'1:1,'1:3,4,2.05,3.1,3.1
2020/10/18,周日030,意甲,斯佩齐亚,光州FC,浦项制铁（-1）vs光州FC,'1:0,'5:3,8,1.78,3.45,3.55
2020/10/18,周日029,瑞超,天狼星,冈山绿雉,山口雷诺法（+1）vs冈山绿雉,'1:1,'1:2,3,2.95,3.25,2.05
2020/10/18,周日028,瑞超,埃尔夫斯堡,川崎前锋,湘南海洋（+2）vs川崎前锋,'0:1,'0:1,1,10.5,6.5,1.13
2020/10/18,周日027,瑞超,哈马比,横滨水手,柏太阳神（+1）vs横滨水手,'1:0,'1:3,4,2.23,4,2.3
2020/10/18,周日026,荷甲,海牙,千叶市原,琉球FC（-1）vs千叶市原,'0:0,'0:1,1,2.3,3.46,2.45
2020/10/18,周日025,荷甲,阿贾克斯,町田泽维亚,枥木SC（-1）vs町田泽维亚,'1:0,'2:0,2,2.5,2.75,2.7
2020/10/18,周日024,西甲,毕尔巴鄂竞技,大阪钢巴,广岛三箭（-1）vs大阪钢巴,'0:2,'1:2,3,1.76,3.7,3.4
2020/10/18,周日023,比甲,聚尔特瓦雷赫姆,大分三神,鹿岛鹿角（-1）vs大分三神,'0:0,'0:2,2,1.52,3.9,4.55
2020/10/18,周日022,德乙,帕德博恩,全北现代,金泉尚武（+1）vs全北现代,'0:0,'0:1,1,4.75,3.65,1.54
2020/10/18,周日021,德乙,杜塞尔多夫,蔚山现代,大邱FC（+1）vs蔚山现代,'1:1,'2:2,4,3.6,3.55,1.74
2020/10/18,周日020,德乙,维尔茨堡踢球者,北九州向日葵,东京绿茵（-1）vs北九州向日葵,'1:0,'1:0,1,2.18,3.37,2.64
2020/10/18,周日019,德乙,奥厄,群马温泉,水户蜀葵（-1）vs群马温泉,'0:0,'3:1,4,1.8,3.5,3.42
2020/10/18,周日018,俄超,伏尔加格勒旋翼,东京FC,鸟栖沙岩（+1）vs东京FC,'1:0,'3:0,3,2.75,3.32,2.13
2020/10/18,周日017,俄超,图拉兵工厂,仁川联,城南FC（-1）vs仁川联,'0:2,'0:6,6,2.07,2.85,3.35
2020/10/18,周日016,法甲,斯特拉斯堡,江原FC,釜山偶像（+1）vs江原FC,'0:0,'0:2,2,2.65,3.3,2.2
2020/10/18,周日015,英冠,普雷斯顿,福冈黄蜂,长崎航海（-1）vs福冈黄蜂,'0:1,'1:3,4,2.1,3.09,3
2020/10/18,周日014,英超,谢菲尔德联,磐田喜悦,山形山神（+1）vs磐田喜悦,'1:0,'1:0,1,2.7,3.05,2.3
2020/10/18,周日013,意甲,博洛尼亚,波尔图,博阿维斯塔（+1）vs波尔图,'0:0,'0:5,5,8.3,4.45,1.27
2020/10/18,周日012,荷甲,费耶诺德,德黑兰独立,棉农（-1）vs德黑兰独立,'1:1,'2:1,3,2.17,2.85,3.1
2020/10/18,周日010,韩职,浦项制铁,老虎大学,蒙特雷（-1）vs老虎大学,'0:1,'0:2,2,2.38,3.1,2.55
2020/10/18,周日009,日职,川崎前锋,内卡萨,美洲狮（-1）vs内卡萨,'0:1,'1:1,2,1.8,3.45,3.46
2020/10/18,周日008,日职,广岛三箭,格雷米奥,米内罗竞技（-1）vs格雷米奥,'1:0,'3:1,4,1.67,3.45,4.1
2020/10/18,周日007,日职,浦和红钻,辛辛那提FC,纽约城（-1）vs辛辛那提FC,'3:0,'4:0,4,1.35,4.15,6.55
2020/10/18,周日006,日乙,山形山神,马萨特兰,瓜达拉哈拉（-1）vs马萨特兰,'2:1,'2:1,3,1.71,3.3,4.1
2020/10/18,周日005,日乙,金泽塞维根,圣保罗,巴西国际（-1）vs圣保罗,'1:1,'1:1,2,2.08,2.85,3.3
2020/10/18,周日004,日乙,群马温泉,巴伊亚,巴拉纳竞技（-1）vs巴伊亚,'0:0,'1:0,1,1.83,3.05,3.85
2020/10/18,周日003,日乙,水户蜀葵,休斯敦迪纳摩,纳什维尔（-1）vs休斯敦迪纳摩,'0:0,'1:1,2,1.88,3.35,3.3
2020/10/18,周日002,日乙,京都不死鸟,维迪斯,阿贾克斯（-2）vs维迪斯,'1:0,'2:1,3,1.16,6,9.5
2020/10/18,周日001,日乙,冈山绿雉,梅斯,马赛（-1）vs梅斯,'0:0,'1:1,2,1.47,3.48,6
2020/10/18,周六063,墨超,蓝十字,皇家马德里,皇家贝蒂斯（+1）vs皇家马德里,'2:1,'2:3,5,4.25,3.6,1.61
2020/10/18,周六062,墨超,瓜达拉哈拉,南安普敦,伯恩利（+1）vs南安普敦,'0:1,'0:1,1,3.02,3.15,2.06
2020/10/18,周六061,巴甲,圣保罗,勒芬,根特（-1）vs勒芬,'0:2,'2:3,5,1.33,4.6,6.05
2020/10/18,周六060,美职足,蒙特利尔CF,佛罗伦萨,国际米兰（-1）vs佛罗伦萨,'1:1,'4:3,7,1.44,4.05,5.2
2020/10/18,周六059,巴甲,弗鲁米嫩塞,萨尔普斯堡,斯特罗姆加斯特（-1）vs萨尔普斯堡,'0:0,'0:0,0,2.2,3.45,2.58
2020/10/18,周六058,巴甲,戈亚尼亚竞技,芬洛,海伦芬（-1）vs芬洛,'1:0,'1:0,1,1.48,4.1,4.65
2020/10/18,周六057,巴甲,科里蒂巴,克拉斯诺达尔,索契（+1）vs克拉斯诺达尔,'1:0,'1:1,2,3.15,3.15,2
2020/10/18,周六056,美职足,芝加哥火焰,卡昂,瓦朗谢纳（+1）vs卡昂,'1:0,'1:0,1,2.65,2.77,2.53
2020/10/18,周六055,葡超,里斯本竞技,波城FC,亚眠（-1）vs波城FC,'0:0,'0:0,0,1.8,3,4.1
2020/10/18,周六054,荷甲,威廉二世,敦刻尔克,罗德兹（-1）vs敦刻尔克,'1:0,'2:1,3,2.22,2.8,3.06
2020/10/18,周六053,英超,纽卡斯尔联,沙托鲁,尚布利（-1）vs沙托鲁,'0:1,'2:1,3,2.3,2.84,2.88
2020/10/18,周六052,比甲,标准列日,格勒诺布尔,甘冈（-1）vs格勒诺布尔,'1:0,'1:0,1,2.03,2.95,3.3
2020/10/18,周六051,意甲,克罗托内,巴黎FC,尼奥尔（+1）vs巴黎FC,'1:0,'2:2,4,2.62,2.8,2.53
2020/10/18,周六050,挪超,莫尔德,勒阿弗尔,南锡（-1）vs勒阿弗尔,'0:0,'0:1,1,2.25,2.78,3.03
2020/10/18,周六049,德甲,门兴格拉德巴赫,索肖,阿雅克肖（-1）vs索肖,'1:0,'1:1,2,2.07,2.7,3.57
2020/10/18,周六048,荷甲,阿尔克马尔,阿尔克马尔,福图纳锡塔德（+1）vs阿尔克马尔,'1:1,'3:3,6,5.5,4.3,1.39
2020/10/18,周六047,葡超,布拉加,云达不来梅,沙尔克04（-1）vs云达不来梅,'0:2,'1:3,4,2.55,3.15,2.36
2020/10/18,周六046,法乙,阿雅克肖,切尔西,西布罗姆维奇（+1）vs切尔西,'3:0,'3:3,6,6.7,4.4,1.32
2020/10/18,周六045,法乙,亚眠,桑纳菲尤尔,莫尔德（-1）vs桑纳菲尤尔,'0:1,'0:1,1,1.3,4.75,6.5
2020/10/18,周六044,法乙,罗德兹,贝内文托,桑普多利亚（-1）vs贝内文托,'2:1,'2:3,5,1.75,3.4,3.75
2020/10/18,周六043,法乙,巴黎FC,拉齐奥,卡利亚里（+1）vs拉齐奥,'0:1,'0:2,2,5,4.05,1.46
2020/10/18,周六042,法乙,尼奥尔,吉马良斯,里奥阿维（+1）vs吉马良斯,'0:0,'0:0,0,2.77,2.95,2.3
2020/10/18,周六041,法乙,南锡,布赖代塔亚文,利雅得胜利（-1）vs布赖代塔亚文,'0:0,'1:0,1,1.39,3.9,6.3
2020/10/18,周六040,法乙,勒阿弗尔,里斯本竞技,费雷拉（+1）vs里斯本竞技,'0:1,'0:2,2,3.35,3.15,1.93
2020/10/18,周六039,荷甲,赫拉克勒斯,西雅图海湾人,洛杉矶银河（-1）vs西雅图海湾人,'0:2,'1:3,4,2.32,3.55,2.37
2020/10/18,周六038,比甲,比尔肖特VA,圣何塞地震,洛杉矶FC（-2）vs圣何塞地震,'1:0,'1:2,3,1.12,7.05,10
2020/10/18,周六037,西甲,皇家马德里,波特兰伐木工,温哥华白帽（+1）vs波特兰伐木工,'0:1,'0:1,1,5.6,4.55,1.36
2020/10/18,周六036,德甲,比勒费尔德,墨西哥美洲,蓝十字（-1）vs墨西哥美洲,'0:0,'0:0,0,1.77,3.35,3.7
2020/10/18,周六034,挪超,姆延达伦,奥兰多城,达拉斯FC（-1）vs奥兰多城,'0:0,'0:0,0,2.16,3.5,2.6
2020/10/18,周六033,意甲,国际米兰,皇家盐湖城,明尼苏达联（-1）vs皇家盐湖城,'0:0,'0:0,0,1.82,3.6,3.25
2020/10/19,周日066,美职足,圣何塞地震,哥伦布机员,多伦多FC（-1）vs哥伦布机员,'0:1,'3:1,4,2.26,3.35,2.55
2020/10/19,周日065,美职足,洛杉矶银河,迈阿密国际,费城联合（-1）vs迈阿密国际,'1:0,'3:0,3,2.35,3.35,2.45
2020/10/19,周日064,美职足,波特兰伐木工,亚特兰大联,芝加哥火焰（-1）vs亚特兰大联,'2:0,'2:0,2,1.62,3.7,4.05
2020/10/19,周日063,墨超,桑托斯拉古纳,福塔雷萨,桑托斯（-1）vs福塔雷萨,'1:0,'1:1,2,2,3.1,3.25
2020/10/19,周日062,美职足,多伦多FC,蒙特利尔CF,纽约红牛（-1）vs蒙特利尔CF,'2:1,'4:1,5,1.52,3.85,4.65
2020/10/19,周日061,美职足,辛辛那提FC,新英格兰革命,华盛顿联（+1）vs新英格兰革命,'0:0,'0:2,2,3.16,3.4,1.91
2020/10/19,周日060,巴甲,布拉干蒂诺RB,莱昂,圣路易斯（+1）vs莱昂,'0:1,'0:2,2,4.1,3.65,1.63
2020/10/19,周日059,巴甲,福塔雷萨,戈亚斯,塞阿拉（-1）vs戈亚斯,'0:1,'2:2,4,1.59,3.35,4.85
2020/10/19,周日058,美职足,纽约红牛,博塔弗戈,戈亚尼亚竞技（-1）vs博塔弗戈,'0:1,'1:1,2,2,2.98,3.35
2020/10/19,周日057,美职足,哥伦布机员,巴黎圣日尔曼,兰斯（+2）vs巴黎圣日尔曼,'0:1,'0:2,2,12.5,6.25,1.12
2020/10/19,周日056,巴甲,巴西国际,比利亚雷亚尔,巴塞罗那（-1）vs比利亚雷亚尔,'4:0,'4:0,4,1.38,4.3,5.65
2020/10/19,周日055,巴甲,科林蒂安,沙勒罗瓦,穆斯克龙（+1）vs沙勒罗瓦,'1:1,'1:1,2,4.9,3.6,1.54
2020/10/19,周日054,葡超,里奥阿维,尤文图斯,罗马（+1）vs尤文图斯,'2:1,'2:2,4,3.05,3.4,1.95
2020/10/19,周日053,法甲,里尔,瓦勒伦加,博德闪耀（-1）vs瓦勒伦加,'2:0,'2:0,2,1.4,4.6,4.95
2020/10/19,周日052,挪超,桑纳菲尤尔,前进之鹰,福伦丹（-1）vs前进之鹰,'0:0,'0:0,0,1.85,3.5,3.25
2020/10/19,周日051,荷乙,多德勒支,色格拉布鲁日,布鲁日（-2）vs色格拉布鲁日,'1:0,'2:1,3,1.15,5.9,10.5
2020/10/19,周日050,荷甲,埃门,莫斯科火车头,莫斯科中央陆军（-1）vs莫斯科火车头,'0:1,'0:1,1,1.95,3,3.48
2020/10/19,周日049,墨超,美洲狮,斯达,斯塔贝克（-1）vs斯达,'0:0,'2:0,2,1.74,3.55,3.6
2020/10/19,周日048,葡超,法伦斯,维京,姆延达伦（+1）vs维京,'1:1,'1:2,3,3.16,3.5,1.88
2020/10/19,周日047,比甲,亨克,布兰,克里斯蒂安松（-1）vs布兰,'0:0,'1:1,2,1.76,3.68,3.4
2020/10/19,周日046,挪超,斯特罗姆加斯特,奥德,海于格松（-1）vs奥德,'1:2,'4:4,8,2.36,3.15,2.55
2020/10/19,周日045,挪超,斯塔贝克,罗森博格,奥勒松（+1）vs罗森博格,'0:1,'1:2,3,5.3,4.25,1.41
2020/10/19,周日044,挪超,克里斯蒂安松,AC米兰,克罗托内（+1）vsAC米兰,'0:1,'0:2,2,5.5,4.1,1.41
2020/10/19,周日043,挪超,海于格松,沃尔夫斯堡,弗赖堡（+1）vs沃尔夫斯堡,'1:1,'1:1,2,2.72,3.2,2.2
2020/10/19,周日042,德甲,沙尔克04,法马利康,比兰尼塞斯（-1）vs法马利康,'1:0,'1:2,3,2.39,2.94,2.66
2020/10/20,周一013,墨超,莱昂,科里蒂巴,弗鲁米嫩塞（-1）vs科里蒂巴,'1:0,'4:0,4,1.92,2.95,3.65
2020/10/20,周一012,美职足,新英格兰革命,登博思,特尔斯达（-1）vs登博思,'2:0,'6:1,7,1.62,4.05,3.7
2020/10/20,周一011,巴甲,巴伊亚,奥斯坦德,亨克（-1）vs奥斯坦德,'1:1,'2:2,4,1.56,3.7,4.5
2020/10/20,周一010,巴甲,博塔弗戈,克莱蒙,特鲁瓦（-1）vs克莱蒙,'1:0,'1:0,1,2.3,2.75,2.98
2020/10/20,周一009,葡超,博阿维斯塔,帕尔马,博洛尼亚（-1）vs帕尔马,'2:0,'4:1,5,1.83,3.26,3.55
2020/10/20,周一008,荷乙,阿尔克马尔青年队,汉堡,帕德博恩（+1）vs汉堡,'3:2,'3:4,7,2.8,3.4,2.07
2020/10/20,周一007,英超,利兹联,米亚尔比,AIK索尔纳（-1）vs米亚尔比,'0:0,'1:0,1,1.75,3.15,4.1
2020/10/20,周一006,法乙,甘冈,瓦尔贝里,卡尔马（-1）vs瓦尔贝里,'0:0,'1:1,2,2.09,3.15,2.95
2020/10/20,周一005,德乙,圣保利,SBV精英,阿贾克斯青年队（-1）vsSBV精英,'0:0,'3:0,3,1.83,4.15,2.88
2020/10/20,周一004,荷乙,罗达JC,莫斯科迪纳摩,莫斯科希姆基（+1）vs莫斯科迪纳摩,'1:0,'1:0,1,5.1,3.2,1.6
2020/10/20,周一003,瑞超,赫尔辛堡,吉达国民,利雅得胜利（-1）vs吉达国民,'1:0,'2:0,2,1.63,3.3,4.6
2020/10/20,周一002,瑞超,佐加顿斯,东京FC,浦和红钻（+1）vs东京FC,'0:1,'0:1,1,2.97,3.55,1.94
2020/10/20,周一001,荷乙,阿贾克斯青年队,东京绿茵,甲府风林（-1）vs东京绿茵,'0:0,'0:0,0,2.3,3.1,2.65
2020/10/21,周三015,荷甲,瓦尔韦克,德岛漩涡,长崎航海（+1）vs德岛漩涡,'0:0,'0:1,1,3,3.18,2.06
2020/10/21,周三014,日乙,枥木SC,山形山神,群马温泉（+1）vs山形山神,'1:1,'1:4,5,3.95,3.3,1.73
2020/10/21,周三013,日职,横滨水手,磐田喜悦,山口雷诺法（+1）vs磐田喜悦,'2:0,'3:0,3,4.3,3.8,1.57
2020/10/21,周三012,日职,湘南海洋,金泽塞维根,松本山雅（+1）vs金泽塞维根,'0:0,'0:1,1,2.8,3.15,2.18
2020/10/21,周三011,日乙,町田泽维亚,京都不死鸟,千叶市原（+1）vs京都不死鸟,'0:0,'0:0,0,3.06,3.25,2
2020/10/21,周三010,日乙,东京绿茵,新泻天鹅,琉球FC（+1）vs新泻天鹅,'0:1,'0:1,1,2.95,3.5,1.96
2020/10/21,周三009,日乙,群马温泉,北九州向日葵,町田泽维亚（+1）vs北九州向日葵,'0:1,'1:1,2,2.37,3.18,2.52
2020/10/21,周三008,日乙,山口雷诺法,爱媛FC,冈山绿雉（-1）vs爱媛FC,'0:0,'0:1,1,1.98,3.02,3.35
2020/10/21,周三007,日乙,新泻天鹅,枥木SC,福冈黄蜂（-1）vs枥木SC,'0:0,'1:0,1,2.9,3,2.2
2020/10/21,周三006,日乙,水户蜀葵,水户蜀葵,大宫松鼠RB（+1）vs水户蜀葵,'0:1,'2:1,3,2.35,3.25,2.5
2020/10/21,周三005,日乙,松本山雅,名古屋鲸八,神户胜利船（-1）vs名古屋鲸八,'0:0,'1:0,1,2.15,3.65,2.53
2020/10/21,周三004,日乙,千叶市原,皇家贝蒂斯,赫塔费（-1）vs皇家贝蒂斯,'3:0,'3:0,3,2.32,2.8,2.9
2020/10/21,周三003,日乙,爱媛FC,根特,基辅迪纳摩（-1）vs根特,'2:0,'3:0,3,1.64,3.75,3.9
2020/10/21,周三002,日乙,京都不死鸟,莫尔德,费伦茨瓦罗斯（-1）vs莫尔德,'0:0,'0:0,0,2.08,3.5,2.72
2020/10/21,周三001,日职,神户胜利船,奥林匹亚科斯,奥莫尼亚（+1）vs奥林匹亚科斯,'0:0,'0:0,0,4.55,3.45,1.6
2020/10/21,周二015,美职足,纳什维尔,切尔西,托特纳姆热刺（+1）vs切尔西,'0:1,'1:1,2,4.45,3.8,1.55
2020/10/21,周二014,荷乙,奥斯,巴伦西亚,皇家社会（-1）vs巴伦西亚,'0:0,'0:1,1,1.41,3.9,6
2020/10/21,周二013,英冠,雷丁,罗达JC,埃因霍温FC（+1）vs罗达JC,'2:3,'3:3,6,3.35,3.75,1.76
2020/10/21,周二012,欧冠,巴黎圣日尔曼,吉达国民,利雅得胜利（-1）vs吉达国民,'1:0,'2:0,2,1.63,3.3,4.6
2020/10/21,周二011,欧冠,拉齐奥,东京FC,浦和红钻（+1）vs东京FC,'0:1,'0:1,1,2.97,3.55,1.94
2020/10/21,周二010,欧冠,切尔西,东京绿茵,甲府风林（-1）vs东京绿茵,'0:0,'0:0,0,2.3,3.1,2.65
2020/10/21,周二009,英冠,哈德斯菲尔德,德岛漩涡,长崎航海（+1）vs德岛漩涡,'0:0,'0:1,1,3,3.18,2.06
2020/10/21,周二008,英冠,诺丁汉森林,山形山神,群马温泉（+1）vs山形山神,'1:1,'1:4,5,3.95,3.3,1.73
2020/10/21,周二007,英冠,诺维奇,磐田喜悦,山口雷诺法（+1）vs磐田喜悦,'2:0,'3:0,3,4.3,3.8,1.57
2020/10/21,周二006,英冠,米尔沃尔,金泽塞维根,松本山雅（+1）vs金泽塞维根,'0:0,'0:1,1,2.8,3.15,2.18
2020/10/21,周二005,英冠,考文垂,京都不死鸟,千叶市原（+1）vs京都不死鸟,'0:0,'0:0,0,3.06,3.25,2
2020/10/21,周二004,英冠,布里斯托尔城,新泻天鹅,琉球FC（+1）vs新泻天鹅,'0:1,'0:1,1,2.95,3.5,1.96
2020/10/21,周二003,欧冠,基辅迪纳摩,北九州向日葵,町田泽维亚（+1）vs北九州向日葵,'0:1,'1:1,2,2.37,3.18,2.52
2020/10/21,周二002,荷乙,埃因霍温青年队,爱媛FC,冈山绿雉（-1）vs爱媛FC,'0:0,'0:1,1,1.98,3.02,3.35
2020/10/21,周二001,荷乙,布雷达,枥木SC,福冈黄蜂（-1）vs枥木SC,'0:0,'1:0,1,2.9,3,2.2
2020/10/21,周三015,荷甲,瓦尔韦克,登博思,埃因霍温FC（-1）vs登博思,'0:0,'1:0,1,2.15,3.56,2.48
2020/10/21,周三014,日乙,枥木SC,埃尔夫斯堡,AIK索尔纳（-1）vs埃尔夫斯堡,'0:0,'1:0,1,2.03,3,3.1
2020/10/21,周三011,日乙,町田泽维亚,瓦尔贝里,厄斯特松德（-1）vs瓦尔贝里,'1:1,'1:2,3,2.2,3,2.77
2020/10/21,周三010,日乙,东京绿茵,北雪平,厄勒布鲁（+1）vs北雪平,'0:1,'0:3,3,4.3,3.6,1.57
2020/10/21,周三009,日乙,群马温泉,IFK哥德堡,哈尔姆斯塔德（+1）vsIFK哥德堡,'1:0,'1:1,2,2.83,2.93,2.2
2020/10/21,周三008,日乙,山口雷诺法,亚特兰大,萨索洛（+1）vs亚特兰大,'0:1,'1:1,2,5.9,4.5,1.32
2020/10/21,周三006,日乙,水户蜀葵,热那亚,拉齐奥（-1）vs热那亚,'2:0,'4:3,7,1.26,4.8,6.8
2020/10/21,周三005,日乙,松本山雅,中央海岸水手,墨尔本胜利（+1）vs中央海岸水手,'0:1,'1:1,2,3.07,3.65,1.82
2020/10/21,周三004,日乙,千叶市原,大宫松鼠RB,东京绿茵（+1）vs大宫松鼠RB,'0:0,'1:1,2,2.7,3.3,2.1
2020/10/21,周三003,日乙,爱媛FC,山口雷诺法,町田泽维亚（-1）vs山口雷诺法,'0:0,'0:2,2,1.57,3.45,4.5
2020/10/21,周三002,日乙,京都不死鸟,札幌冈萨多,湘南海洋（+1）vs札幌冈萨多,'0:0,'0:0,0,3.2,3.55,1.8
2020/10/21,周三001,日职,神户胜利船,奥斯汀FC,明尼苏达联（-1）vs奥斯汀FC,'0:1,'0:1,1,1.7,3.65,3.5
2020/10/21,周二015,美职足,纳什维尔,波特兰伐木工,达拉斯FC（-1）vs波特兰伐木工,'3:0,'4:1,5,1.86,3.4,3.15
2020/10/21,周二014,荷乙,奥斯,纽约城,费城联合（+1）vs纽约城,'0:1,'0:2,2,2.4,3.4,2.28
2020/10/21,周二013,英冠,雷丁,辛辛那提FC,奥兰多城（-1）vs辛辛那提FC,'2:0,'3:0,3,1.35,4.25,5.85
2020/10/21,周二012,欧冠,巴黎圣日尔曼,亚特兰大联,新英格兰革命（-1）vs亚特兰大联,'1:1,'2:1,3,1.73,3.45,3.55
2020/10/21,周二011,欧冠,拉齐奥,洛杉矶FC,休斯敦迪纳摩（+1）vs洛杉矶FC,'0:0,'1:1,2,2.45,3.68,2.13
2020/10/21,周二009,英冠,哈德斯菲尔德,哥伦布机员,蒙特利尔CF（+1）vs哥伦布机员,'0:0,'0:0,0,2.9,3.4,1.96
2020/10/21,周二008,英冠,诺丁汉森林,尼斯,里尔（-1）vs尼斯,'1:0,'2:0,2,1.24,4.5,8.25
2020/10/21,周二007,英冠,诺维奇,奥萨苏纳,皇家马德里（-1）vs奥萨苏纳,'0:0,'2:0,2,1.21,4.85,8.75
2020/10/21,周二006,英冠,米尔沃尔,贝内文托,AC米兰（-1）vs贝内文托,'1:0,'2:0,2,1.17,5.45,9
2020/10/21,周二005,英冠,考文垂,堪萨斯城竞技,皇家盐湖城（-1）vs堪萨斯城竞技,'1:1,'3:1,4,2.29,3.35,2.42
2020/10/21,周二004,英冠,布里斯托尔城,兹沃勒,维迪斯（-1）vs兹沃勒,'1:0,'2:1,3,1.29,4.55,6.5
2020/10/21,周二003,欧冠,基辅迪纳摩,阿尔克马尔,瓦尔韦克（+1）vs阿尔克马尔,'1:1,'1:3,4,7.4,5.15,1.22
2020/10/21,周二002,荷乙,埃因霍温青年队,甘冈,亚眠（+1）vs甘冈,'0:2,'0:3,3,3.2,2.85,2.06
2020/10/21,周二001,荷乙,布雷达,欧塞尔,卡昂（+1）vs欧塞尔,'0:0,'0:0,0,3.13,3.15,1.95
2020/10/22,周三026,巴甲,瓦斯科达伽马,水户蜀葵,大宫松鼠RB（+1）vs水户蜀葵,'0:1,'2:1,3,2.35,3.25,2.5
2020/10/22,周三025,欧冠,阿贾克斯,名古屋鲸八,神户胜利船（-1）vs名古屋鲸八,'0:0,'1:0,1,2.15,3.65,2.53
2020/10/22,周三024,欧冠,国际米兰,皇家贝蒂斯,赫塔费（-1）vs皇家贝蒂斯,'3:0,'3:0,3,2.32,2.8,2.9
2020/10/22,周三023,欧冠,拜仁慕尼黑,根特,基辅迪纳摩（-1）vs根特,'2:0,'3:0,3,1.64,3.75,3.9
2020/10/22,周三022,英冠,斯托克城,莫尔德,费伦茨瓦罗斯（-1）vs莫尔德,'0:0,'0:0,0,2.08,3.5,2.72
2020/10/22,周三021,英冠,沃特福德,奥林匹亚科斯,奥莫尼亚（+1）vs奥林匹亚科斯,'0:0,'0:0,0,4.55,3.45,1.6
2020/10/22,周三020,英冠,谢菲尔德星期三,切尔西,托特纳姆热刺（+1）vs切尔西,'0:1,'1:1,2,4.45,3.8,1.55
2020/10/22,周三019,英冠,加的夫城,巴伦西亚,皇家社会（-1）vs巴伦西亚,'0:0,'0:1,1,1.41,3.9,6
2020/10/22,周三018,英冠,女王公园巡游者,罗达JC,埃因霍温FC（+1）vs罗达JC,'2:3,'3:3,6,3.35,3.75,1.76
2020/10/22,周三017,欧冠,皇家马德里,棉农,波斯波利斯（+1）vs棉农,'0:0,'2:0,2,2.72,2.8,2.44
